t,dim_1
544,8.027034120117535e-5
545,8.026988670327434e-5
546,8.02694332038018e-5
547,8.026898070274639e-5
548,8.026852920009683e-5
549,8.02680786958418e-5
550,8.026762918997006e-5
551,8.026718068247039e-5
552,8.026673317333154e-5
553,8.026628666254233e-5
554,8.026584115009163e-5
555,8.026539663596826e-5
556,8.026495312016111e-5
557,8.026451060265914e-5
558,8.026406908345126e-5
559,8.026362856252637e-5
560,8.026318903987352e-5
561,8.026275051548178e-5
562,8.026231298934004e-5
563,8.02618764614375e-5
564,8.026144093176316e-5
565,8.026100640030621e-5
566,8.02605728670557e-5
567,8.026014033200086e-5
568,8.025970879513082e-5
569,8.025927825643479e-5
570,8.025884871590209e-5
571,8.025842017352189e-5
572,8.025799262928353e-5
573,8.02575660831763e-5
574,8.025714053518954e-5
575,8.025671598531261e-5
576,8.025629243353487e-5
577,8.025586987984576e-5
578,8.025544832423473e-5
579,8.025502776669125e-5
580,8.025460820720475e-5
581,8.025418964576481e-5
582,8.025377208236093e-5
583,8.025335551698265e-5
584,8.025293994961957e-5
585,8.02525253802613e-5
586,8.025211180889748e-5
587,8.02516992355178e-5
588,8.02512876601119e-5
589,8.025087708266951e-5
590,8.02504675031804e-5
591,8.025005892163425e-5
592,8.02496513380209e-5
593,8.024924475233018e-5
594,8.024883916455183e-5
595,8.024843457467584e-5
596,8.024803098269199e-5
597,8.024762838859026e-5
598,8.024722679236053e-5
599,8.024682619399278e-5
600,8.024642659347705e-5
601,8.024602799080332e-5
602,8.024563038596157e-5
603,8.02452337789419e-5
604,8.024483816973437e-5
605,8.024444355832912e-5
606,8.024404994471632e-5
607,8.024365732888606e-5
608,8.02432657108285e-5
609,8.024287509053398e-5
610,8.024248546799262e-5
611,8.024209684319467e-5
612,8.024170921613056e-5
613,8.024132258679047e-5
614,8.02409369551647e-5
615,8.024055232124374e-5
616,8.024016868501788e-5
617,8.023978604647758e-5
618,8.023940440561322e-5
619,8.023902376241531e-5
620,8.023864411687429e-5
621,8.023826546898067e-5
622,8.023788781872503e-5
623,8.02375111660979e-5
624,8.023713551108991e-5
625,8.023676085369154e-5
626,8.023638719389357e-5
627,8.023601453168656e-5
628,8.023564286706125e-5
629,8.023527220000831e-5
630,8.023490253051855e-5
631,8.023453385858263e-5
632,8.023416618419137e-5
633,8.023379950733561e-5
634,8.023343382800614e-5
635,8.023306914619386e-5
636,8.023270546188959e-5
637,8.023234277508425e-5
638,8.023198108576882e-5
639,8.023162039393429e-5
640,8.023126069957151e-5
641,8.02309020026716e-5
642,8.023054430322556e-5
643,8.023018760122444e-5
644,8.022983189665933e-5
645,8.022947718952134e-5
646,8.022912347980164e-5
647,8.022877076749127e-5
648,8.022841905258155e-5
649,8.02280683350636e-5
650,8.022771861492867e-5
651,8.022736989216802e-5
652,8.022702216677294e-5
653,8.022667543873476e-5
654,8.022632970804472e-5
655,8.022598497469427e-5
656,8.022564123867477e-5
657,8.02252984999776e-5
658,8.022495675859424e-5
659,8.02246160145161e-5
660,8.022427626773466e-5
661,8.022393751824149e-5
662,8.02235997660281e-5
663,8.022326301108597e-5
664,8.022292725340673e-5
665,8.022259249298198e-5
666,8.022225872980339e-5
667,8.022192596386254e-5
668,8.022159419515119e-5
669,8.022126342366102e-5
670,8.022093364938374e-5
671,8.022060487231116e-5
672,8.022027709243499e-5
673,8.021995030974709e-5
674,8.021962452423921e-5
675,8.02192997359033e-5
676,8.021897594473122e-5
677,8.021865315071484e-5
678,8.02183313538461e-5
679,8.021801055411698e-5
680,8.021769075151941e-5
681,8.021737194604542e-5
682,8.021705413768703e-5
683,8.021673732643636e-5
684,8.021642151228544e-5
685,8.021610669522631e-5
686,8.021579287525123e-5
687,8.021548005235228e-5
688,8.021516822652165e-5
689,8.021485739775155e-5
690,8.021454756603421e-5
691,8.021423873136186e-5
692,8.021393089372681e-5
693,8.021362405312134e-5
694,8.02133182095378e-5
695,8.021301336296851e-5
696,8.021270951340591e-5
697,8.021240666084234e-5
698,8.021210480527025e-5
699,8.021180394668213e-5
700,8.02115040850704e-5
701,8.021120522042761e-5
