t,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,σ2_1,σ2_2,σ2_3,σ2_4,σ2_5,σ2_6
497,1711.9425123405838,89.4213952371731,2.613173752792705,-0.19907409340353105,-0.018179457196624064,-0.0005613400429337337,0.014249717038887024,0.02103591029584289,0.12156784791763238,0.012254847338641,1.570847025220291e-5,7.929012285108159e-8
498,1720.8976844827332,89.68171420853533,2.5566036223537654,-0.20089484777756017,-0.018235594292063714,-0.0005609903849151875,0.014249717038886438,0.021035910291008514,0.12156783050759143,0.012247887709503705,1.5706155559624273e-5,7.914590028578956e-8
499,1729.878605364154,89.93636705363053,2.5076637452834474,-0.20272121406048382,-0.01829169622903385,-0.0005606404274599827,0.014249717038885848,0.02103591028615604,0.12156781303269026,0.012240902037555835,1.5703963464168972e-5,7.900314140355731e-8
500,1738.8847465229517,90.18611677005329,2.4659778964522934,-0.20455318874754114,-0.018347762982165172,-0.0005602901895966258,0.01424971703888524,0.021035910281285815,0.12156779549441056,0.01223389091537853,1.5701890472115245e-5,7.88618369598707e-8
501,1747.9156539159724,90.43168873285627,2.4293788193214447,-0.2063907683290697,-0.018403794526848125,-0.0005599396899520843,0.01424971703888464,0.02103591027639834,0.12156777789423465,0.012226854935857198,1.56999331342286e-5,7.872197771892712e-8
502,1756.9709352049076,90.6735915910346,2.3953565673539443,-0.2082339492890689,-0.018459790839533283,-0.0005595889468537644,0.014249717038884042,0.021035910271493954,0.12156776023364518,0.012219794692075781,1.5698088045473362e-5,7.858355445410014e-8
503,1766.050236362816,90.912082998922,2.3624513012361814,-0.21008272810675274,-0.018515751898033974,-0.0005592379783981884,0.014249717038883454,0.021035910266573154,0.12156774251412533,0.012212710777212792,1.5696351844724468e-5,7.844655794840079e-8
504,1775.1532218273464,91.14727462706612,2.3299449638141843,-0.21193710125666654,-0.0185716776817073,-0.0005588868024767978,0.014249717038882868,0.021035910261636318,0.12156772473715798,0.012205603784438614,1.5694721214478688e-5,7.831097899493394e-8
505,1784.2795636146918,91.37920634027317,2.297591961449135,-0.21379706521147854,-0.018627568171634707,-0.0005585354367938791,0.014249717038882283,0.02103591025668383,0.12156770690422548,0.012198474306814363,1.5693192880566462e-5,7.817680839735358e-8
506,1793.428936501107,91.60789344380204,2.2663873151030844,-0.2156626164415874,-0.018683423350625082,-0.0005581838988741619,0.014249717038881686,0.02103591025171613,0.12156768901681006,0.012191322937192427,1.5691763611863082e-5,7.80440369703107e-8
507,1802.6010217622493,91.83345074544819,2.2378730112337086,-0.21753375141814651,-0.01873924320299342,-0.000557832206076257,0.014249717038881088,0.021035910246733562,0.12156767107639276,0.01218415026811822,1.569043022000051e-5,7.791265553990125e-8
508,1811.7955198710229,92.05614725143782,2.213540498706484,-0.21941046661398036,-0.01879502771428615,-0.0005574803756263778,0.014249717038880515,0.021035910241736688,0.12156765308445387,0.012176956891733684,1.5689189559078973e-5,7.778265494410772e-8
509,1821.012165652376,92.27640111325368,2.194454714541603,-0.22129275850218447,-0.018850776871164338,-0.0005571284246746481,0.014249717038879943,0.02103591023672589,0.12156763504247238,0.012169743399682038,1.5688038525378525e-5,7.765402603323856e-8
510,1830.2507410748244,92.49473697607743,2.180225368684593,-0.22318062355489712,-0.018906490661098847,-0.0005567763703756977,0.014249717038879353,0.021035910231701455,0.12156761695192543,0.01216251038301412,1.5686974057070654e-5,7.752675967036236e-8
511,1839.5110786197422,92.71164045609886,2.1690791228809796,-0.22507405824245347,-0.018962169072473868,-0.0005564242299719526,0.014249717038878788,0.021035910226663845,0.12156759881428872,0.012155258432096104,1.568599313393066e-5,7.740084673174065e-8
512,1848.7930504669052,92.92741983535515,2.1589515606821963,-0.2269730590292932,-0.019017812094930104,-0.0005560720208594107,0.014249717038878196,0.02103591022161347,0.12156758063103586,0.012147988136518763,1.568509277704877e-5,7.727627810725312e-8
513,1858.0965492964692,93.14217695448103,2.14787112581373,-0.22887762237713455,-0.019073419719655555,-0.0005557197606253671,0.014249717038877636,0.021035910216550775,0.12156756240363822,0.012140700085007963,1.5684270048542983e-5,7.715304470082384e-8
514,1867.4214681204135,93.35581649817074,2.134279085713076,-0.23078774474367011,-0.019128991939642265,-0.0005553674670487354,0.014249717038877051,0.021035910211476074,0.12156754413356494,0.012133394865336752,1.568352205127063e-5,7.703113743083909e-8
515,1876.7676826202576,93.56808727808055,2.1174350384012244,-0.23270342258248808,-0.01918452875007446,-0.0005550151580791301,0.014249717038876474,0.02103591020638982,0.12156752582228228,0.012126073064238792,1.5682845928541377e-5,7.691054723056544e-8
516,1886.1350396566897,93.77866406588575,2.096180112621155,-0.2346246523480317,-0.01924003014842476,-0.0005546628517897321,0.0142497170388759,0.021035910201292463,0.12156750747125401,0.012118735267323181,1.5682238863829225e-5,7.679126504856037e-8
