n_heads,status,theta_real,empirical_rate,prior_b,iterations,prior_a,execution_time,posterior_mean,converged,posterior_std,n_samples
35.0,success,0.7,0.7,2.0,10,1.0,0.0009179115295410156,0.6792452830188679,true,0.0635188989834093,50
40.0,success,0.8,0.8,2.0,10,1.0,0.0010609626770019531,0.7735849056603774,true,0.05695210778702778,50
14.0,success,0.3,0.28,2.0,10,2.0,0.0008959770202636719,0.2962962962962963,true,0.06157106774767655,50
29.0,success,0.5,0.58,2.0,10,2.0,0.0008580684661865234,0.5740740740740741,true,0.06667601879782954,50
35.0,success,0.7,0.7,2.0,10,2.0,0.0008559226989746094,0.6851851851851852,true,0.06262535751128999,50
40.0,success,0.8,0.8,2.0,10,2.0,0.0008559226989746094,0.7777777777777778,true,0.05605833101216812,50
14.0,success,0.3,0.28,2.0,10,4.0,0.0008618831634521484,0.32142857142857145,true,0.06185895741317419,50
29.0,success,0.5,0.58,2.0,10,4.0,0.0008680820465087891,0.5892857142857143,true,0.06516215417918403,50
35.0,success,0.7,0.7,2.0,10,4.0,0.0008649826049804688,0.6964285714285714,true,0.06090196556136246,50
40.0,success,0.8,0.8,2.0,10,4.0,0.0009770393371582031,0.7857142857142857,true,0.0543489935894773,50
14.0,success,0.3,0.28,2.0,10,8.0,0.0009059906005859375,0.36666666666666664,true,0.061700256691314785,50
29.0,success,0.5,0.58,2.0,10,8.0,0.0008709430694580078,0.6166666666666667,true,0.06225132678668862,50
35.0,success,0.7,0.7,2.0,10,8.0,0.0008749961853027344,0.7166666666666667,true,0.05769557694720976,50
40.0,success,0.8,0.8,2.0,10,8.0,0.0008540153503417969,0.8,true,0.05121475197315839,50
22.0,success,0.3,0.22,2.0,10,1.0,0.0015799999237060547,0.22330097087378642,true,0.04083711161909579,100
48.0,success,0.5,0.48,2.0,10,1.0,0.0017611980438232422,0.47572815533980584,true,0.04897123150349752,100
61.0,success,0.7,0.61,2.0,10,1.0,0.0017850399017333984,0.6019417475728155,true,0.04799918670202416,100
77.0,success,0.8,0.77,2.0,10,1.0,0.0016629695892333984,0.7572815533980582,true,0.04204006814487566,100
22.0,success,0.3,0.22,2.0,10,2.0,0.0016050338745117188,0.23076923076923078,true,0.04111711414037298,100
48.0,success,0.5,0.48,2.0,10,2.0,0.0015790462493896484,0.4807692307692308,true,0.048758899311260574,100
61.0,success,0.7,0.61,2.0,10,2.0,0.0016088485717773438,0.6057692307692307,true,0.04769075679860479,100
77.0,success,0.8,0.77,2.0,10,2.0,0.0019049644470214844,0.7596153846153846,true,0.04170187298191841,100
22.0,success,0.3,0.22,2.0,10,4.0,0.0016541481018066406,0.24528301886792453,true,0.04159430895684859,100
48.0,success,0.5,0.48,2.0,10,4.0,0.0016019344329833984,0.49056603773584906,true,0.048328219766064176,100
61.0,success,0.7,0.61,2.0,10,4.0,0.0016529560089111328,0.6132075471698113,true,0.04708156089486784,100
77.0,success,0.8,0.77,2.0,10,4.0,0.0016908645629882812,0.7641509433962265,true,0.04104070000665553,100
22.0,success,0.3,0.22,2.0,10,8.0,0.0017731189727783203,0.2727272727272727,true,0.042271868634116104,100
48.0,success,0.5,0.48,2.0,10,8.0,0.0019519329071044922,0.509090909090909,true,0.04745005485827346,100
61.0,success,0.7,0.61,2.0,10,8.0,0.001631021499633789,0.6272727272727273,true,0.045894675042212556,100
77.0,success,0.8,0.77,2.0,10,8.0,0.0016150474548339844,0.7727272727272727,true,0.039776383358341716,100
59.0,success,0.3,0.295,2.0,10,1.0,0.0030548572540283203,0.2955665024630542,true,0.03194717952852032,200
101.0,success,0.5,0.505,2.0,10,1.0,0.0034339427947998047,0.5024630541871922,true,0.03500657734864999,200
141.0,success,0.7,0.705,2.0,10,1.0,0.0033960342407226562,0.6995073891625616,true,0.032099477858249445,200
162.0,success,0.8,0.81,2.0,10,1.0,0.0031659603118896484,0.8029556650246306,true,0.027849196931911194,200
59.0,success,0.3,0.295,2.0,10,2.0,0.003144979476928711,0.29901960784313725,true,0.031976125390174526,200
101.0,success,0.5,0.505,2.0,10,2.0,0.003300905227661133,0.5049019607843137,true,0.03491983647465896,200
141.0,success,0.7,0.705,2.0,10,2.0,0.0030541419982910156,0.7009803921568627,true,0.031976125390174526,200
162.0,success,0.8,0.81,2.0,10,2.0,0.0032110214233398438,0.803921568627451,true,0.0277296776935901,200
59.0,success,0.3,0.295,2.0,10,4.0,0.003101825714111328,0.3058252427184466,true,0.0320247612257821,200
101.0,success,0.5,0.505,2.0,10,4.0,0.0030808448791503906,0.5097087378640777,true,0.03474585023073197,200
141.0,success,0.7,0.705,2.0,10,4.0,0.003259897232055664,0.7038834951456311,true,0.03173193277319729,200
162.0,success,0.8,0.81,2.0,10,4.0,0.003134012222290039,0.8058252427184466,true,0.027493602322673366,200
59.0,success,0.3,0.295,2.0,10,8.0,0.003242015838623047,0.319047619047619,true,0.03208816614838221,200
101.0,success,0.5,0.505,2.0,10,8.0,0.0035390853881835938,0.5190476190476191,true,0.034396433478775024,200
141.0,success,0.7,0.705,2.0,10,8.0,0.003278017044067383,0.7095238095238096,true,0.031253418637092446,200
162.0,success,0.8,0.81,2.0,10,8.0,0.0037660598754882812,0.8095238095238095,true,0.027032980676486653,200
141.0,success,0.3,0.282,2.0,10,1.0,0.00837397575378418,0.2823061630218688,true,0.02005000659767827,500
239.0,success,0.5,0.478,2.0,10,1.0,0.00846099853515625,0.47713717693836977,true,0.022248474681159595,500
348.0,success,0.7,0.696,2.0,10,1.0,0.008510112762451172,0.6938369781312127,true,0.020530041185764968,500
401.0,success,0.8,0.802,2.0,10,1.0,0.008466958999633789,0.7992047713717694,true,0.017843927915932145,500
141.0,success,0.3,0.282,2.0,10,2.0,0.0212709903717041,0.2837301587301587,true,0.020060668170323665,500
239.0,success,0.5,0.478,2.0,10,2.0,0.007948160171508789,0.4781746031746032,true,0.02222850066221131,500
348.0,success,0.7,0.696,2.0,10,2.0,0.007965087890625,0.6944444444444444,true,0.020498314735109,500
401.0,success,0.8,0.802,2.0,10,2.0,0.007873058319091797,0.7996031746031746,true,0.017812996577351938,500
141.0,success,0.3,0.282,2.0,10,4.0,0.00787806510925293,0.2865612648221344,true,0.020080896862150095,500
239.0,success,0.5,0.478,2.0,10,4.0,0.00796198844909668,0.48023715415019763,true,0.022188426978115187,500
348.0,success,0.7,0.696,2.0,10,4.0,0.007810115814208984,0.6956521739130435,true,0.020435120155878887,500
401.0,success,0.8,0.802,2.0,10,4.0,0.007652997970581055,0.8003952569169961,true,0.017751444623923893,500
141.0,success,0.3,0.282,2.0,10,8.0,0.008028984069824219,0.29215686274509806,true,0.020117134010941225,500
239.0,success,0.5,0.478,2.0,10,8.0,0.007966041564941406,0.4843137254901961,true,0.022107810062006936,500
348.0,success,0.7,0.696,2.0,10,8.0,0.008103132247924805,0.6980392156862745,true,0.020309757280752103,500
401.0,success,0.8,0.802,2.0,10,8.0,0.007950067520141602,0.8019607843137255,true,0.017629569801411962,500
291.0,success,0.3,0.291,2.0,10,1.0,0.019764184951782227,0.29112662013958124,true,0.014337004998825238,1000
483.0,success,0.5,0.483,2.0,10,1.0,0.015477180480957031,0.48255234297108673,true,0.01577024971773,1000
688.0,success,0.7,0.688,2.0,10,1.0,0.015436172485351562,0.6869391824526421,true,0.014635469047726144,1000
799.0,success,0.8,0.799,2.0,10,1.0,0.015299797058105469,0.7976071784646062,true,0.012680174290842828,1000
291.0,success,0.3,0.291,2.0,10,2.0,0.01549220085144043,0.2918326693227092,true,0.01434008966432175,1000
483.0,success,0.5,0.483,2.0,10,2.0,0.0213930606842041,0.48306772908366535,true,0.01576296112677421,1000
688.0,success,0.7,0.688,2.0,10,2.0,0.01527094841003418,0.6872509960159362,true,0.014624217102523169,1000
799.0,success,0.8,0.799,2.0,10,2.0,0.015273809432983398,0.797808764940239,true,0.01266915160980436,1000
291.0,success,0.3,0.291,2.0,10,4.0,0.01608109474182129,0.2932405566600398,true,0.014346074848018019,1000
483.0,success,0.5,0.483,2.0,10,4.0,0.07171487808227539,0.4840954274353877,true,0.015748363972075265,1000
688.0,success,0.7,0.688,2.0,10,4.0,0.11350512504577637,0.6878727634194831,true,0.014601758296441326,1000
799.0,success,0.8,0.799,2.0,10,4.0,0.03373098373413086,0.7982107355864811,true,0.012647161826477672,1000
291.0,success,0.3,0.291,2.0,10,8.0,0.028229951858520508,0.296039603960396,true,0.01435732207545702,1000
483.0,success,0.5,0.483,2.0,10,8.0,0.019893884658813477,0.4861386138613861,true,0.015719092638167006,1000
688.0,success,0.7,0.688,2.0,10,8.0,0.023540973663330078,0.689108910891089,true,0.0145570204551528,1000
799.0,success,0.8,0.799,2.0,10,8.0,0.06339406967163086,0.799009900990099,true,0.01260340333316868,1000
3046.0,success,0.3,0.3046,2.0,10,1.0,0.26764988899230957,0.3046086174147756,true,0.004601494459481527,10000
5006.0,success,0.5,0.5006,2.0,10,1.0,0.3969419002532959,0.5005498350494851,true,0.004998997277317761,10000
6993.0,success,0.7,0.6993,2.0,10,1.0,0.25085997581481934,0.6991902429271218,true,0.004585184308858798,10000
8030.0,success,0.8,0.803,2.0,10,1.0,0.38527607917785645,0.8028591422573228,true,0.003977600466729496,10000
3046.0,success,0.3,0.3046,2.0,10,2.0,0.21769499778747559,0.3046781287485006,true,0.0046015594624364145,10000
5006.0,success,0.5,0.5006,2.0,10,2.0,0.2549428939819336,0.5005997600959616,true,0.004998746872330696,10000
6993.0,success,0.7,0.6993,2.0,10,2.0,0.24843788146972656,0.6992203118752499,true,0.004584824579569005,10000
8030.0,success,0.8,0.803,2.0,10,2.0,0.21103906631469727,0.8028788484606157,true,0.0039772516955797685,10000
3046.0,success,0.3,0.3046,2.0,10,4.0,0.23501276969909668,0.3048171097341595,true,0.004601688935163706,10000
5006.0,success,0.5,0.5006,2.0,10,4.0,0.27240991592407227,0.5006995802518489,true,0.004998246025798753,10000
6993.0,success,0.7,0.6993,2.0,10,4.0,0.1970078945159912,0.6992804317409554,true,0.004584105271229866,10000
8030.0,success,0.8,0.803,2.0,10,4.0,0.21170902252197266,0.8029182490505696,true,0.00397655433134876,10000
3046.0,success,0.3,0.3046,2.0,10,8.0,0.20171189308166504,0.3050949050949051,true,0.004601945751834813,10000
5006.0,success,0.5,0.5006,2.0,10,8.0,0.1989428997039795,0.500899100899101,true,0.004997244187283952,10000
6993.0,success,0.7,0.6993,2.0,10,8.0,0.2692699432373047,0.6994005994005994,true,0.004582667255297739,10000
8030.0,success,0.8,0.803,2.0,10,8.0,0.21086716651916504,0.802997002997003,true,0.003975160314754942,10000
14.0,success,0.3,0.28,4.0,10,1.0,0.0012960433959960938,0.2727272727272727,true,0.05951397006436156,50
29.0,success,0.5,0.58,4.0,10,1.0,0.0010440349578857422,0.5454545454545454,true,0.06653864133739999,50
35.0,success,0.7,0.7,4.0,10,1.0,0.0009019374847412109,0.6545454545454545,true,0.06354353154662373,50
40.0,success,0.8,0.8,4.0,10,1.0,0.0009019374847412109,0.7454545454545455,true,0.05821022034029862,50
14.0,success,0.3,0.28,4.0,10,2.0,0.0008890628814697266,0.2857142857142857,true,0.05983627261309936,50
29.0,success,0.5,0.58,4.0,10,2.0,0.0008628368377685547,0.5535714285714286,true,0.06584539334894643,50
35.0,success,0.7,0.7,4.0,10,2.0,0.0008559226989746094,0.6607142857142857,true,0.06271222471936154,50
40.0,success,0.8,0.8,4.0,10,2.0,0.0008587837219238281,0.75,true,0.05735393346764044,50
14.0,success,0.3,0.28,4.0,10,4.0,0.0008568763732910156,0.3103448275862069,true,0.06022991480064641,50
29.0,success,0.5,0.58,4.0,10,4.0,0.0010371208190917969,0.5689655172413793,true,0.06447227198395736,50
35.0,success,0.7,0.7,4.0,10,4.0,0.0010790824890136719,0.6724137931034483,true,0.06110195480071955,50
40.0,success,0.8,0.8,4.0,10,4.0,0.0485990047454834,0.7586206896551724,true,0.05571041026203378,50
14.0,success,0.3,0.28,4.0,10,8.0,0.0015749931335449219,0.3548387096774194,true,0.060280850600149254,50
29.0,success,0.5,0.58,4.0,10,8.0,0.0009770393371582031,0.5967741935483871,true,0.061802906833452693,50
35.0,success,0.7,0.7,4.0,10,8.0,0.0008590221405029297,0.6935483870967742,true,0.058083003258232346,50
40.0,success,0.8,0.8,4.0,10,8.0,0.0008599758148193359,0.7741935483870968,true,0.05267719876953071,50
22.0,success,0.3,0.22,4.0,10,1.0,0.0016889572143554688,0.21904761904761905,true,0.04017247715918884,100
48.0,success,0.5,0.48,4.0,10,1.0,0.0016939640045166016,0.4666666666666667,true,0.04845625228744207,100
61.0,success,0.7,0.61,4.0,10,1.0,0.001834869384765625,0.5904761904761905,true,0.04776258689749455,100
77.0,success,0.8,0.77,4.0,10,1.0,0.0016319751739501953,0.7428571428571429,true,0.04245090484659845,100
22.0,success,0.3,0.22,4.0,10,2.0,0.0016279220581054688,0.22641509433962265,true,0.04045896725976981,100
48.0,success,0.5,0.48,4.0,10,2.0,0.0016438961029052734,0.4716981132075472,true,0.04825932704427441,100
61.0,success,0.7,0.61,4.0,10,2.0,0.0017118453979492188,0.5943396226415094,true,0.047468635547552165,100
77.0,success,0.8,0.77,4.0,10,2.0,0.0016179084777832031,0.7452830188679245,true,0.04212090304601225,100
22.0,success,0.3,0.22,4.0,10,4.0,0.0016088485717773438,0.24074074074074073,true,0.04095025360770347,100
48.0,success,0.5,0.48,4.0,10,4.0,0.0015799999237060547,0.48148148148148145,true,0.04785845572253331,100
61.0,success,0.7,0.61,4.0,10,4.0,0.0016407966613769531,0.6018518518518519,true,0.04688715716594592,100
77.0,success,0.8,0.77,4.0,10,4.0,0.001683950424194336,0.75,true,0.04147509477069983,100
22.0,success,0.3,0.22,4.0,10,8.0,0.0015931129455566406,0.26785714285714285,true,0.04165914085306484,100
48.0,success,0.5,0.48,4.0,10,8.0,0.0015518665313720703,0.5,true,0.047036043419179864,100
61.0,success,0.7,0.61,4.0,10,8.0,0.0015850067138671875,0.6160714285714286,true,0.04575109877972445,100
77.0,success,0.8,0.77,4.0,10,8.0,0.0016710758209228516,0.7589285714285714,true,0.04023778822036439,100
59.0,success,0.3,0.295,4.0,10,1.0,0.0033180713653564453,0.2926829268292683,true,0.03170094108828812,200
101.0,success,0.5,0.505,4.0,10,1.0,0.003267049789428711,0.4975609756097561,true,0.03483623623679439,200
141.0,success,0.7,0.705,4.0,10,1.0,0.0035789012908935547,0.6926829268292682,true,0.03214600261341801,200
162.0,success,0.8,0.81,4.0,10,1.0,0.0033719539642333984,0.7951219512195122,true,0.028121013970690084,200
59.0,success,0.3,0.295,4.0,10,2.0,0.003398895263671875,0.2961165048543689,true,0.03173193277319729,200
101.0,success,0.5,0.505,4.0,10,2.0,0.0035130977630615234,0.5,true,0.034752402342845795,200
141.0,success,0.7,0.705,4.0,10,2.0,0.0034101009368896484,0.6941747572815534,true,0.0320247612257821,200
162.0,success,0.8,0.81,4.0,10,2.0,0.0033249855041503906,0.7961165048543689,true,0.028002330437252275,200
