t,dim_1
420,4.533398012072333e-5
421,4.5333402959863625e-5
422,4.533282679905113e-5
423,4.5332251638260324e-5
424,4.5331677477465597e-5
425,4.53311043166414e-5
426,4.533053215576231e-5
427,4.532996099480287e-5
428,4.532939083373772e-5
429,4.53288216725415e-5
430,4.5328253511188926e-5
431,4.532768634965475e-5
432,4.532712018791374e-5
433,4.532655502594075e-5
434,4.532599086371065e-5
435,4.532542770119838e-5
436,4.532486553837892e-5
437,4.5324304375227254e-5
438,4.5323744211718475e-5
439,4.532318504782765e-5
440,4.532262688352996e-5
441,4.5322069718800595e-5
442,4.5321513553614777e-5
443,4.532095838794778e-5
444,4.532040422177494e-5
445,4.531985105507164e-5
446,4.531929888781329e-5
447,4.531874771997534e-5
448,4.5318197551533294e-5
449,4.531764838246271e-5
450,4.531710021273918e-5
451,4.5316553042338336e-5
452,4.531600687123586e-5
453,4.5315461699407475e-5
454,4.531491752682894e-5
455,4.531437435347611e-5
456,4.5313832179324804e-5
457,4.531329100435092e-5
458,4.531275082853045e-5
459,4.531221165183933e-5
460,4.531167347425363e-5
461,4.5311136295749427e-5
462,4.5310600116302854e-5
463,4.531006493589011e-5
464,4.530953075448733e-5
465,4.5308997572070834e-5
466,4.5308465388616886e-5
467,4.5307934204101865e-5
468,4.5307404018502164e-5
469,4.5306874831794215e-5
470,4.530634664395448e-5
471,4.530581945495948e-5
472,4.5305293264785795e-5
473,4.530476807341005e-5
474,4.530424388080891e-5
475,4.530372068695906e-5
476,4.5303198491837255e-5
477,4.530267729542027e-5
478,4.5302157097684946e-5
479,4.530163789860816e-5
480,4.5301119698166864e-5
481,4.5300602496338014e-5
482,4.530008629309862e-5
483,4.5299571088425716e-5
484,4.529905688229645e-5
485,4.529854367468793e-5
486,4.529803146557735e-5
487,4.529752025494198e-5
488,4.529701004275907e-5
489,4.5296500829005934e-5
490,4.529599261365994e-5
491,4.529548539669856e-5
492,4.529497917809918e-5
493,4.529447395783934e-5
494,4.529396973589657e-5
495,4.529346651224848e-5
496,4.529296428687266e-5
497,4.529246305974683e-5
498,4.5291962830848704e-5
499,4.5291463600156044e-5
500,4.529096536764669e-5
501,4.529046813329845e-5
502,4.528997189708925e-5
503,4.528947665899702e-5
504,4.528898241899979e-5
505,4.528848917707555e-5
