t,mu,var,truth,obs,residual,abs_residual,residual2
103.0,7.223210754743553,5.473247777817193,-7.676858097635825,-15.240960732222458,-14.900068852379377,14.900068852379377,222.01205180564608
104.0,7.919009880450015,5.483147883118453,-8.278264690856536,-6.514516156199215,-16.19727457130655,16.19727457130655,262.3517035382938
105.0,8.407252800490559,5.485145932334141,-8.7969575997167,-13.877021565867851,-17.20421040020726,17.20421040020726,295.9848554945996
106.0,8.028174637705794,5.4808640911373026,-9.227754216128073,-14.8542602492077,-17.255928853833865,17.255928853833865,297.7670806085761
107.0,6.996701999937833,5.47821101829033,-9.566350162701884,-8.878844004231873,-16.563052162639718,16.563052162639718,274.33469694232423
108.0,5.5108671577361665,5.4843613147376,-9.809362300664915,-7.270333282655908,-15.320229458401082,15.320229458401082,234.7094306580603
109.0,4.826888141651375,5.485324791747171,-9.954362533063774,-15.269853553087117,-14.78125067471515,14.78125067471515,218.48537150876706
110.0,2.7957270291638245,5.506893704927431,-9.999902065507035,-7.878318867046756,-12.79562909467086,12.79562909467086,163.7281239283874
111.0,1.5772959562309077,5.5256894768367,-9.94552588203989,-4.874252350033542,-11.522821838270797,11.522821838270797,132.7754231165304
112.0,0.4028972346148809,5.5417674210397205,-9.791777291513169,-14.205860429966737,-10.19467452612805,10.19467452612805,103.93138869368418
113.0,-0.6552453696590164,5.554194184022715,-9.54019249902089,-9.911574573768988,-8.884947129361873,8.884947129361873,78.94228549155578
114.0,-2.255131083141655,5.5731763862658825,-9.193285256646757,-10.273204709618946,-6.938154173505102,6.938154173505102,48.13798333532626
115.0,-3.5089644538623377,5.590585448705593,-8.754521746884285,-10.238924040643756,-5.245557293021947,5.245557293021947,27.515871314375737
116.0,-4.33491950952025,5.6012814495943575,-8.228285949687079,-3.260735984500612,-3.8933664401668286,3.8933664401668286,15.158302237417324
117.0,-5.401733865676685,5.609904209815387,-7.619835839190321,-8.06851456674289,-2.218101973513636,2.218101973513636,4.919976364905086
118.0,-5.494757808082913,5.610166457273351,-6.935250847771224,-5.560091492620874,-1.4404930396883104,1.4404930396883104,2.0750201973904683
119.0,-5.9118757758659,5.605401492004944,-6.181371122370333,-6.197276957167333,-0.2694953465044332,0.2694953465044332,0.07262774178754451
120.0,-4.952594983935899,5.601477407928546,-5.365729180004349,-1.6029510491620504,-0.4131341960684498,0.4131341960684498,0.17067986396112433
121.0,-3.9170843939534428,5.59906739677275,-4.496474645345999,-9.951732352251355,-0.5793902513925562,0.5793902513925562,0.33569306340872945
122.0,-1.9545564420987467,5.614500003005059,-3.58229282236827,-3.161424386346278,-1.6277363802695235,1.6277363802695235,2.6495257236529306
123.0,-0.0008399530176785411,5.642656917351988,-2.6323179136580093,-0.17451484168063303,-2.6314779606403307,2.6314779606403307,6.924676257335793
124.0,1.734031052326826,5.675209769021312,-1.656041754483094,-2.9245845707997917,-3.39007280680992,3.39007280680992,11.49259363547209
125.0,2.7624630712556155,5.699428101540352,-0.6632189735120069,-0.8197534166067241,-3.4256820447676226,3.4256820447676226,11.73529747184328
126.0,3.2785588601158824,5.712968024746516,0.3362304722113847,2.4417390693986647,-2.9423283879044977,2.9423283879044977,8.65729634226868
127.0,3.629511435007757,5.717893617135568,1.3323204141994396,2.8785174976050136,-2.2971910208083175,2.2971910208083175,5.27708658608236
128.0,3.9606028376899682,5.7164860093644005,2.3150982510153897,-0.4825539991151011,-1.6455045866745786,1.6455045866745786,2.7076853447670755
