t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
99,-61.977903081438,-16.357271734981083,-1.8121889897155088,0.014249719065292075,0.021035904498522287,0.12153722161019484
100,-63.62269120048249,-16.538490633838794,-1.7972137442757194,0.014249718744214362,0.021035904496401504,0.12153721927165388
101,-65.28552633363017,-16.718212008048344,-1.7832756659100037,0.014249718431209821,0.02103590447299056,0.12153721770985433
102,-66.96626391572943,-16.896539574124827,-1.7716270235359135,0.014249718141283325,0.02103590439756474,0.12153721674791373
103,-68.66477601125435,-17.073702275664484,-1.7641301895805899,0.014249717884930017,0.02103590425956356,0.12153721621786577
104,-70.38096689080334,-17.250115293705043,-1.762044335224239,0.014249717668081698,0.021035904062816874,0.12153721597195591
105,-72.1147886407817,-17.42631972641686,-1.7653589323313137,0.014249717492568436,0.02103590382018424,0.12153721588909192
106,-73.86624740788105,-17.60285561885987,-1.773676382060577,0.014249717356892504,0.021035903548989533,0.12153721587715337
107,-75.6354013519586,-17.780223256247538,-1.7870208334707023,0.01424971725714165,0.02103590326744851,0.12153721587208188
108,-77.42235878239006,-17.95892533871225,-1.8056799593211201,0.014249717187905674,0.021035902992134876,0.12153721583472547
109,-79.22727971376972,-18.13949333399077,-1.8291385059574927,0.014249717143100634,0.02103590273641807,0.12153721574636063
110,-81.05037473696382,-18.3224071842065,-1.8558268145413097,0.014249717116642613,0.021035902509732893,0.12153721560368079
111,-82.89189458668878,-18.507989865557562,-1.8840251293890182,0.01424971710294479,0.021035902317501153,0.12153721541387061
112,-84.7521136958532,-18.69639237869717,-1.9119188583387,0.01424971709723748,0.02103590216151576,0.12153721519020132
113,-86.63131252548615,-18.8875842649845,-1.937768404140926,0.014249717095728576,0.021035902040608075,0.12153721494840819
114,-88.52975979126279,-19.081361106126295,-1.959926615376358,0.01424971709563266,0.021035901951445436,0.12153721470396402
115,-90.447695533502,-19.277353768536628,-1.9770832458118983,0.014249717095102402,0.02103590188933745,0.12153721447024153
116,-92.38531632780636,-19.475062093868452,-1.9891668297144265,0.014249717093095601,0.02103590184896494,0.12153721425747605
117,-94.34276837337656,-19.673978777387024,-1.9971949994589668,0.014249717089208514,0.021035901824979095,0.12153721407238932
118,-96.32015222769576,-19.87369827772182,-2.00229835720384,0.014249717083500407,0.02103590181244651,0.121537213918311
119,-98.31753354699488,-20.073928113856805,-2.004890676461577,0.0142497170763282,0.021035901807138317,0.1215372137956345
120,-100.33495081345667,-20.274417181748184,-2.005420325232166,0.014249717068203882,0.02103590180567833,0.12153721370246119
121,-102.37241963415045,-20.474959214427436,-2.0046956114406838,0.01424971705968132,0.021035901805574363,0.12153721363530848
122,-104.42993903303727,-20.67542877578887,-2.002803911275917,0.014249717051274549,0.021035901805162002,0.12153721358979051
123,-106.50749593107398,-20.87570916704364,-1.9998353113737004,0.014249717043406121,0.02103590180349066,0.12153721356120979
124,-108.60506602568536,-21.07569269817329,-1.9964934385200197,0.014249717036381289,0.02103590180017839,0.12153721354502287
125,-110.7226177635456,-21.27534204193246,-1.9934659284901242,0.014249717030383021,0.02103590179525799,0.12153721353717048
126,-112.86011929575514,-21.474688634851304,-1.990510282858879,0.014249717025481685,0.02103590178903108,0.12153721353427455
127,-115.0175407093892,-21.673739663333542,-1.9867228836338486,0.014249717021654378,0.02103590178194179,0.12153721353372207
128,-117.1948482892472,-21.87241195198263,-1.9814290916463837,0.014249717018808682,0.02103590177447581,0.1215372135336565
129,-119.39199662849312,-22.07055486157402,-1.9739088971809355,0.014249717016807325,0.02103590176708741,0.12153721353290498
130,-121.60892165829931,-22.267945751802497,-1.9634599046263992,0.01424971701549072,0.021035901760152548,0.12153721353086484
131,-123.84553353360266,-22.4642917427156,-1.9500079934151864,0.014249717014695832,0.021035901753945024,0.12153721352737189
132,-126.10171274824759,-22.659292542466883,-1.933867603166392,0.014249717014270405,0.021035901748631246,0.12153721352256797
133,-128.3773113415257,-22.85267930309186,-1.9154830746100162,0.014249717014082505,0.021035901744278218,0.12153721351678021
134,-130.6721566874744,-23.044227610834547,-1.895255058024967,0.014249717014025585,0.021035901740869993,0.12153721351041973
135,-132.98605572492576,-23.23375311681086,-1.8736036200970843,0.014249717014019923,0.021035901738328467,0.12153721350390412
136,-135.31879905622796,-23.421113478842152,-1.8513407835550542,0.014249717014011313,0.02103590173653491,0.12153721349760399
137,-137.67016711105265,-23.60624755691713,-1.8298863790616584,0.014249717013967813,0.02103590173534998,0.12153721349181046
138,-140.039941300018,-23.789236194405117,-1.8106157369101687,0.014249717013875438,0.021035901734630533,0.12153721348672225
139,-142.42791799765072,-23.970297767727118,-1.7938057082163912,0.014249717013733522,0.02103590173424228,0.12153721348244645
140,-144.83391680500043,-24.14967833797601,-1.7799386423348842,0.014249717013550194,0.021035901734068364,0.12153721347900903
